rank,sample_index,bleu1_score,string_similarity,target_text,predicted_text
1,672,0.4286,0.5109,He served in the United States Senate as a Republican from Minnesota.,He was a member of the Republican Party and served in the United States House of Representatives from 1917 to 1919.
2,618,0.4286,0.5081,He served in the United States Senate as a Republican from Minnesota.,"He was a member of the Republican Party, and served in the United States House of Representatives from 1917 to 1919."
3,902,0.4286,0.4564,He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.,"He was a member of the Republican Party, and served in the United States House of Representatives from 1917 to 1919."
4,471,0.4167,0.3733,He served in the United States Senate as a Republican from Minnesota.,He graduated from the University of Wisconsin-Madison with a degree in economics.
5,501,0.4167,0.3733,He served in the United States Senate as a Republican from Minnesota.,He graduated from the University of Wisconsin-Madison with a degree in economics.
6,530,0.4167,0.3733,He served in the United States Senate as a Republican from Minnesota.,He graduated from the University of Wisconsin-Madison with a degree in economics.
7,588,0.4167,0.3733,He served in the United States Senate as a Republican from Minnesota.,He graduated from the University of Wisconsin-Madison with a degree in economics.
8,645,0.4167,0.3733,He served in the United States Senate as a Republican from Minnesota.,He graduated from the University of Wisconsin-Madison with a degree in economics.
9,702,0.4167,0.3733,He served in the United States Senate as a Republican from Minnesota.,He graduated from the University of Wisconsin-Madison with a degree in economics.
10,731,0.4167,0.3733,He served in the United States Senate as a Republican from Minnesota.,He graduated from the University of Wisconsin-Madison with a degree in economics.
11,761,0.4167,0.3733,He served in the United States Senate as a Republican from Minnesota.,He graduated from the University of Wisconsin-Madison with a degree in economics.
12,791,0.4167,0.3733,He served in the United States Senate as a Republican from Minnesota.,He graduated from the University of Wisconsin-Madison with a degree in economics.
13,612,0.3929,0.4026,"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member of the United States House of Representatives from New York City, where he served as a representative to the Committee on Ways and Means."
14,524,0.3704,0.4092,"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member of the United States House of Representatives from New York, where he served as a representative to the Committee on Ways and Means."
15,785,0.3704,0.4092,"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member of the United States House of Representatives from New York, where he served as a representative to the Committee on Ways and Means."
16,465,0.3462,0.3883,"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member of the United States House of Representatives from New York City, and served as chairman of both the Democratic and Republican Committees."
17,696,0.3462,0.3883,"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member of the United States House of Representatives from New York City, and served as chairman of both the Democratic and Republican Committees."
18,725,0.3462,0.3883,"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member of the United States House of Representatives from New York City, and served as chairman of both the Democratic and Republican Committees."
19,755,0.3462,0.3883,"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member of the United States House of Representatives from New York City, and served as chairman of both the Democratic and Republican Committees."
20,494,0.3462,0.2917,"He was the son of a blacksmith Timothy Bush, Jr. and Lydia Newcomb and was born in Penfield, Monroe Co., New York on January 28, 1797.","He was a member of the United States House of Representatives from New York City, and served as chairman of both the Democratic and Republican Committees."
21,552,0.3462,0.2917,"He was the son of a blacksmith Timothy Bush, Jr. and Lydia Newcomb and was born in Penfield, Monroe Co., New York on January 28, 1797.","He was a member of the United States House of Representatives from New York City, and served as chairman of both the Democratic and Republican Committees."
22,724,0.3462,0.2917,"He was the son of a blacksmith Timothy Bush, Jr. and Lydia Newcomb and was born in Penfield, Monroe Co., New York on January 28, 1797.","He was a member of the United States House of Representatives from New York City, and served as chairman of both the Democratic and Republican Committees."
23,754,0.3462,0.2917,"He was the son of a blacksmith Timothy Bush, Jr. and Lydia Newcomb and was born in Penfield, Monroe Co., New York on January 28, 1797.","He was a member of the United States House of Representatives from New York City, and served as chairman of both the Democratic and Republican Committees."
24,495,0.3378,0.3778,"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.",He was a member of the Republican Party and served in the United States House of Representatives from 1917 to 1919.
25,666,0.3378,0.3778,"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.",He was a member of the Republican Party and served in the United States House of Representatives from 1917 to 1919.
26,553,0.3334,0.2769,"He was a participant in the Underground Railroad, and even petitioned the New York state Legislature to secede from the Union in a protest against slavery.","He was a member of the United States House of Representatives, and served in the House from 1917 to 1919."
27,1011,0.3333,0.4,He was a founder of the American Arithmometer Company.,He graduated from the University of Wisconsin-Madison with a degree in economics.
28,1039,0.3333,0.4,He was a founder of the American Arithmometer Company.,He graduated from the University of Wisconsin-Madison with a degree in economics.
29,1067,0.3333,0.4,He was a founder of the American Arithmometer Company.,He graduated from the University of Wisconsin-Madison with a degree in economics.
30,811,0.3333,0.3485,"Mrs. Roosevelt was active in the formations of numerous institutions, most notably the United Nations, United Nations Association and Freedom House.","He was a member of the Republican Party, and served in the United States House of Representatives from 1917 to 1919."
31,1001,0.3333,0.3485,"Mrs. Roosevelt was active in the formations of numerous institutions, most notably the United Nations, United Nations Association and Freedom House.","He was a member of the Republican Party, and served in the United States House of Representatives from 1917 to 1919."
32,1057,0.3333,0.3485,"Mrs. Roosevelt was active in the formations of numerous institutions, most notably the United Nations, United Nations Association and Freedom House.","He was a member of the Republican Party, and served in the United States House of Representatives from 1917 to 1919."
33,1217,0.3333,0.3485,"Mrs. Roosevelt was active in the formations of numerous institutions, most notably the United Nations, United Nations Association and Freedom House.","He was a member of the Republican Party, and served in the United States House of Representatives from 1917 to 1919."
34,848,0.3333,0.3145,"He attended secondary school (Volksschule), and learned the trade of a joiner.",He graduated from the University of Wisconsin-Madison with a degree in economics.
35,876,0.3333,0.3145,"He attended secondary school (Volksschule), and learned the trade of a joiner.",He graduated from the University of Wisconsin-Madison with a degree in economics.
36,1010,0.3333,0.3145,"He attended secondary school (Volksschule), and learned the trade of a joiner.",He graduated from the University of Wisconsin-Madison with a degree in economics.
37,1038,0.3333,0.3145,"He attended secondary school (Volksschule), and learned the trade of a joiner.",He graduated from the University of Wisconsin-Madison with a degree in economics.
38,1142,0.3333,0.3145,"He attended secondary school (Volksschule), and learned the trade of a joiner.",He graduated from the University of Wisconsin-Madison with a degree in economics.
39,1170,0.3333,0.3145,"He attended secondary school (Volksschule), and learned the trade of a joiner.",He graduated from the University of Wisconsin-Madison with a degree in economics.
40,1226,0.3333,0.3145,"He attended secondary school (Volksschule), and learned the trade of a joiner.",He graduated from the University of Wisconsin-Madison with a degree in economics.
41,883,0.332,0.3652,He was elected to the Bulgarian national assembly in 1913 and 1920.,He was born in New York City to a Jewish family.
