rank,sample_index,bleu1_score,string_similarity,target_text,predicted_text
1,868,0.7143,0.8222,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,InIn was the committee that drafted the approved the bill Declaration of Human Rights.
2,1086,0.7143,0.8222,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,InIn was the committee that drafted the approved the bill Declaration of Human Rights.
3,1134,0.7143,0.8222,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,InIn was the committee that drafted the approved the bill Declaration of Human Rights.
4,1002,0.7143,0.8152,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,InIn was the committee that drafted the approved the original Declaration of Human Rights.
5,882,0.6923,0.7211,Libby was a founding member of the Project for the New American Century.,InInby was born member member of the Democratic for a New American Century.
6,938,0.6923,0.7211,Libby was a founding member of the Project for the New American Century.,InInby was born member member of the Democratic for a New American Century.
7,989,0.6923,0.7211,Libby was a founding member of the Project for the New American Century.,InInby was born member member of the Democratic for a New American Century.
8,1096,0.6923,0.7211,Libby was a founding member of the Project for the New American Century.,InInby was born member member of the Democratic for a New American Century.
9,1120,0.6923,0.7211,Libby was a founding member of the Project for the New American Century.,InInby was born member member of the Democratic for a New American Century.
10,1148,0.6923,0.7211,Libby was a founding member of the Project for the New American Century.,InInby was born member member of the Democratic for a New American Century.
11,1286,0.6923,0.7211,Libby was a founding member of the Project for the New American Century.,InInby was born member member of the Democratic for a New American Century.
12,826,0.6923,0.7075,Libby was a founding member of the Project for the New American Century.,HeHeby was born member member of the Democratic for a New American Century.
13,961,0.6923,0.7075,Libby was a founding member of the Project for the New American Century.,HeHeby was born member member of the Democratic for a New American Century.
14,1016,0.6923,0.7075,Libby was a founding member of the Project for the New American Century.,HeHeby was born member member of the Democratic for a New American Century.
15,1044,0.6923,0.7075,Libby was a founding member of the Project for the New American Century.,HeHeby was born member member of the Democratic for a New American Century.
16,1072,0.6923,0.7075,Libby was a founding member of the Project for the New American Century.,HeHeby was born member member of the Democratic for a New American Century.
17,1176,0.6923,0.7075,Libby was a founding member of the Project for the New American Century.,HeHeby was born member member of the Democratic for a New American Century.
18,1232,0.6923,0.7075,Libby was a founding member of the Project for the New American Century.,HeHeby was born member member of the Democratic for a New American Century.
19,1258,0.6923,0.7075,Libby was a founding member of the Project for the New American Century.,HeHeby was born member member of the Democratic for a New American Century.
20,812,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
21,840,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
22,896,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
23,924,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
24,950,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
25,975,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
26,1030,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
27,1058,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
28,1106,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
29,1162,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
30,1190,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
31,1218,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
32,1272,0.6429,0.7845,She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,HeHe was the National that drafted the approved the United Declaration of Human Rights.
33,829,0.6364,0.807,He was one of the founder members of the Lunar Society.,HeHe was a of the founding members of the American Society.
34,857,0.6364,0.807,He was one of the founder members of the Lunar Society.,HeHe was a of the founding members of the American Society.
35,913,0.6364,0.807,He was one of the founder members of the Lunar Society.,HeHe was a of the founding members of the American Society.
36,1047,0.6364,0.807,He was one of the founder members of the Lunar Society.,HeHe was a of the founding members of the American Society.
37,1179,0.6364,0.807,He was one of the founder members of the Lunar Society.,HeHe was a of the founding members of the American Society.
38,1207,0.6364,0.807,He was one of the founder members of the Lunar Society.,HeHe was a of the founding members of the American Society.
39,1235,0.6364,0.807,He was one of the founder members of the Lunar Society.,HeHe was a of the founding members of the American Society.
40,885,0.6364,0.7863,He was one of the founder members of the Lunar Society.,InIn was born of the founding members of the American Society.
41,991,0.6364,0.7863,He was one of the founder members of the Lunar Society.,InIn was born of the founding members of the American Society.
42,1099,0.6364,0.7863,He was one of the founder members of the Lunar Society.,InIn was born of the founding members of the American Society.
43,1151,0.6364,0.7863,He was one of the founder members of the Lunar Society.,InIn was born of the founding members of the American Society.
44,1261,0.6364,0.7863,He was one of the founder members of the Lunar Society.,InIn was born of the founding members of the American Society.
45,941,0.6364,0.7719,He was one of the founder members of the Lunar Society.,InIn was a of the founding members of the American Society.
46,964,0.6364,0.7719,He was one of the founder members of the Lunar Society.,InIn was a of the founding members of the American Society.
47,1019,0.6364,0.7719,He was one of the founder members of the Lunar Society.,InIn was a of the founding members of the American Society.
48,1075,0.6364,0.7719,He was one of the founder members of the Lunar Society.,InIn was a of the founding members of the American Society.
49,1123,0.6364,0.7719,He was one of the founder members of the Lunar Society.,InIn was a of the founding members of the American Society.
50,1289,0.6364,0.7719,He was one of the founder members of the Lunar Society.,InIn was a of the founding members of the American Society.
51,854,0.6154,0.6939,Libby was a founding member of the Project for the New American Century.,"HeHeby was born member member of the Democratic for a New American Century,"
52,910,0.6154,0.6939,Libby was a founding member of the Project for the New American Century.,"HeHeby was born member member of the Democratic for a New American Century,"
53,1204,0.6154,0.6939,Libby was a founding member of the Project for the New American Century.,"HeHeby was born member member of the Democratic for a New American Century,"
54,677,0.6058,0.0847,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","InIn the's from the school, he attended at the UniversityAmericaniversidad de Rerado Corazon"" (University of the Sacred Heart) in San Juan, where he studied a degreeachelors of in SociSpanish and Television Arts"""
55,707,0.6058,0.0847,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","InIn the's from the school, he attended at the UniversityAmericaniversidad de Rerado Corazon"" (University of the Sacred Heart) in San Juan, where he studied a degreeachelors of in SociSpanish and Television Arts"""
56,623,0.6058,0.0843,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","TheThe the's from the school, he attended at the UniversityAmericaniversidad de Rerado Corazon"" (University of the Sacred Heart) in San Juan, where he studied a degreeachelors of in SociSpanish and Television Arts"""
57,476,0.6058,0.0831,"After Raymond graduated from high school, he enrolled in the ""Universidad del Sagrado Corazon"" (University of the Sacred Heart) of San Juan, where he earned a Bachelors Degree in ""Radio and Television Production"".","TheThe the's from the school, he attended at the UniversityAmericaniversidad de Rerado Corazon"" (University of the Sacred Heart) in San Juan, where he studied a degreeachelors of in SociSpanish and Television Production"""
